source_file,source_file_hash,document_id,page_number,row_index_on_page,raw_text,extracted_columns,item,type_raw,code,revision,description,uom,quantity_raw,notes,parser_confidence,parser_name,warnings,bbox_row,metadata
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,39,0125 SE Schema Elettrico (HW/FW) E0262834 01 01 ELT/577 QUIRIS DIRCM QLU Electrical Scheme,"['0125', 'SE', 'Schema', 'Elettrico', '(HW/FW)', 'E0262834', '01', '01', 'ELT/577', 'QUIRIS', 'DIRCM', 'QLU', 'Electrical', 'Scheme']",0125,SE Schema Elettrico (HW/FW),E0262834,01,,,01,ELT/577 | QUIRIS | DIRCM | QLU | Electrical | Scheme,0.55,pymupdf_words,[],"(30.148000717163086, 424.04302978515625, 336.8530578613281, 431.7923889160156)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,40,"0130 Minuteria C0023802 03 VTCEI M2.5X6 A4-70 ISO4762 6 6_1-6_16 NR 16 VTCEI M2,5X6 A4-70 ISO4762 COSTRUTTORE FITTIZIO","['0130', 'Minuteria', 'C0023802', '03', 'VTCEI', 'M2.5X6', 'A4-70', 'ISO4762', '6', '6_1-6_16', 'NR', '16', 'VTCEI', 'M2,5X6', 'A4-70', 'ISO4762', 'COSTRUTTORE', 'FITTIZIO']",0130,Minuteria,C0023802,03,VTCEI | M2.5X6 | A4-70 | ISO4762 | 6 | 6_1-6_16,NR,16,"VTCEI | M2,5X6 | A4-70 | ISO4762 | COSTRUTTORE | FITTIZIO",0.55,pymupdf_words,[],"(30.148000717163086, 433.4430236816406, 766.7115478515625, 441.1923828125)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,41,0135 Tool Set E0265415 01 01 Toolset di assiemaggio per QLU NR 1,"['0135', 'Tool', 'Set', 'E0265415', '01', '01', 'Toolset', 'di', 'assiemaggio', 'per', 'QLU', 'NR', '1']",0135,Tool Set,E0265415,01,01 | Toolset | di | assiemaggio | per | QLU,NR,1,,0.55,pymupdf_words,[],"(30.148000717163086, 442.843017578125, 519.62109375, 450.5923767089844)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,42,"0140 Minuteria 232001031 02 ROSET.PIANA X VITE TC 2,2 24_1-24_6 NR 6 NO ROSETTA2,2X4,4 UNI6592-A2; MEC-BOLT,SPA; ROSETTA 2,2X4,5 DIN433-A2; Bossard Group; ROSETTA 2,2X4,5 DIN433-A2; RIBE-R.BERGNER GMBH + CO.; ROSETTA2,2X4,5 UNI6592-A2 INOX DADI,SPA","['0140', 'Minuteria', '232001031', '02', 'ROSET.PIANA', 'X', 'VITE', 'TC', '2,2', '24_1-24_6', 'NR', '6', 'NO', 'ROSETTA2,2X4,4', 'UNI6592-A2;', 'MEC-BOLT,SPA;', 'ROSETTA', '2,2X4,5', 'DIN433-A2;', 'Bossard', 'Group;', 'ROSETTA', '2,2X4,5', 'DIN433-A2;', 'RIBE-R.BERGNER', 'GMBH', '+', 'CO.;', 'ROSETTA2,2X4,5', 'UNI6592-A2', 'INOX', 'DADI,SPA']",0140,Minuteria,232001031,02,"ROSET.PIANA | X | VITE | TC | 2,2 | 24_1-24_6",NR,6,"NO | ROSETTA2,2X4,4 | UNI6592-A2; | MEC-BOLT,SPA;",0.55,pymupdf_words,"['row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline']","(30.148000717163086, 452.2430419921875, 741.3370361328125, 459.9924011230469)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,46,0145 Altro - Elemento Meccanico C0098602 01 SPRING 34_1-34_12 NR 12,"['0145', 'Altro', '-', 'Elemento', 'Meccanico', 'C0098602', '01', 'SPRING', '34_1-34_12', 'NR', '12']",0145,Altro - Elemento Meccanico,C0098602,01,SPRING | 34_1-34_12,NR,12,,0.55,pymupdf_words,[],"(30.148000717163086, 478.5630187988281, 521.1870727539062, 486.3123779296875)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,47,0150 Altro - Elemento Meccanico E0253559 01 01 Valve Filler rilavorata 3 NR 1,"['0150', 'Altro', '-', 'Elemento', 'Meccanico', 'E0253559', '01', '01', 'Valve', 'Filler', 'rilavorata', '3', 'NR', '1']",0150,Altro - Elemento Meccanico,E0253559,01,01 | Valve | Filler | rilavorata | 3,NR,1,,0.55,pymupdf_words,[],"(30.148000717163086, 487.9630126953125, 519.62109375, 495.7123718261719)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,48,0155 Altro - Elemento Meccanico E0389243 01 01 OR QLU Coperchio NR 1,"['0155', 'Altro', '-', 'Elemento', 'Meccanico', 'E0389243', '01', '01', 'OR', 'QLU', 'Coperchio', 'NR', '1']",0155,Altro - Elemento Meccanico,E0389243,01,01 | OR | QLU | Coperchio,NR,1,,0.55,pymupdf_words,[],"(30.148000717163086, 497.363037109375, 519.62109375, 505.1123962402344)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,49,"0160 Minuteria 232001030 01 ROSET.PIANA X VITE TC 1,8 9 9_1-9_31 NR 31 NO ROSETTA 1,7X4 DIN125A-A2; RIBE-R.BERGNER GMBH + CO.; ROSETTA 1,7X4 DIN125A-A2; Bossard Group; ROSETTA1,8X3,5 UNI6592-A2; INOX DADI,SPA; ROSETTA1,8X3,5 UNI6592-A2 MEC-BOLT,SPA","['0160', 'Minuteria', '232001030', '01', 'ROSET.PIANA', 'X', 'VITE', 'TC', '1,8', '9', '9_1-9_31', 'NR', '31', 'NO', 'ROSETTA', '1,7X4', 'DIN125A-A2;', 'RIBE-R.BERGNER', 'GMBH', '+', 'CO.;', 'ROSETTA', '1,7X4', 'DIN125A-A2;', 'Bossard', 'Group;', 'ROSETTA1,8X3,5', 'UNI6592-A2;', 'INOX', 'DADI,SPA;', 'ROSETTA1,8X3,5', 'UNI6592-A2', 'MEC-BOLT,SPA']",0160,Minuteria,232001030,01,"ROSET.PIANA | X | VITE | TC | 1,8 | 9 | 9_1-9_31",NR,31,"NO | ROSETTA | 1,7X4 | DIN125A-A2; | RIBE-R.BERGNER | GMBH | + | CO.;",0.55,pymupdf_words,"['row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline']","(30.148000717163086, 506.76300048828125, 782.8588256835938, 514.5123291015625)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,1,53,"0165 Materiale Chimico di Processo C0098682 01 Thermal Past 60 KGM 0.025 CMQ2-25G Syringe ARTIC SILVER INC THIS DOCUMENT CONTAINS PROPRIETARY INFORMATION OF ELETTRONICA S.p.A. ANY USE BY IL PRESENTE DOCUMENTO E' DI PROPRIETA' DELLA ELETTRONICA S.p.A. QUALSIASI SUO UTILIZZO DA Pagina / Sheet 1 / 2 A THIRD PARTY WITHOUT PRIOR AUTHORITION OF THE COMPANY SHALL BE PROSECUTED. PARTE DI TERZI SENZA AUTORIZZAZIONE DELLA SOCIETA' SARA' PERSEGUITO A TERMINI DI LEGGE. Documento emesso con sistema di firma digitale/Released by digital signature - Autore/Originator: De Meo, Marco Stato/Stage: RILASCIATO / RELEASED Nome/Code: E0181296 01 Rev: 06 Data Rilascio: 21/11/2025","['0165', 'Materiale', 'Chimico', 'di', 'Processo', 'C0098682', '01', 'Thermal', 'Past', '60', 'KGM', '0.025', 'CMQ2-25G', 'Syringe', 'ARTIC', 'SILVER', 'INC', 'THIS', 'DOCUMENT', 'CONTAINS', 'PROPRIETARY', 'INFORMATION', 'OF', 'ELETTRONICA', 'S.p.A.', 'ANY', 'USE', 'BY', 'IL', 'PRESENTE', 'DOCUMENTO', ""E'"", 'DI', ""PROPRIETA'"", 'DELLA', 'ELETTRONICA', 'S.p.A.', 'QUALSIASI', 'SUO', 'UTILIZZO', 'DA', 'Pagina', '/', 'Sheet', '1', '/', '2', 'A', 'THIRD', 'PARTY', 'WITHOUT', 'PRIOR', 'AUTHORITION', 'OF', 'THE', 'COMPANY', 'SHALL', 'BE', 'PROSECUTED.', 'PARTE', 'DI', 'TERZI', 'SENZA', 'AUTORIZZAZIONE', 'DELLA', ""SOCIETA'"", ""SARA'"", 'PERSEGUITO', 'A', 'TERMINI', 'DI', 'LEGGE.', 'Documento', 'emesso', 'con', 'sistema', 'di', 'firma', 'digitale/Released', 'by', 'digital', 'signature', '-', 'Autore/Originator:', 'De', 'Meo,', 'Marco', 'Stato/Stage:', 'RILASCIATO', '/', 'RELEASED', 'Nome/Code:', 'E0181296', '01', 'Rev:', '06', 'Data', 'Rilascio:', '21/11/2025']",0165,Materiale Chimico di Processo,C0098682,01,Thermal | Past | 60 | KGM,,0.025,CMQ2-25G | Syringe | ARTIC | SILVER | INC,0.55,pymupdf_words,"['row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline', 'row_stitched_from_multiline']","(30.148000717163086, 533.0830078125, 747.6030883789062, 540.8323364257812)",{}
E0181296 01-06_BOM.pdf,6d76564f95814fe292ce12570d758e79f9cfba34919553705c4ec11b0cdd1765,E0181296 01-06_BOM:6d76564f9581,2,1,0170 Altro - Elemento Meccanico E0284699 01 01 Laser Support Brolis 17 NR 1,"['0170', 'Altro', '-', 'Elemento', 'Meccanico', 'E0284699', '01', '01', 'Laser', 'Support', 'Brolis', '17', 'NR', '1']",0170,Altro - Elemento Meccanico,E0284699,01,01 | Laser | Support | Brolis | 17,NR,1,,0.55,pymupdf_words,[],"(30.148000717163086, 22.757007598876953, 519.62109375, 30.506366729736328)",{}
